id;code;libelle
1;ADMIN;Administrateur
2;ADD_PROFILE;Ajouter un profile
3;VIEW_PROFILE;Afficher les profiles
4;DELETE_PROFILE;Supprimer un profile
5;ADD_USER;Ajouter un utilisateur
6;VIEW_USER;Afficher les utilisateurs
7;ADD_ADMISSION;Ajouter une admission
8;EDIT_ADMISSION;Modifier une admission
9;VIEW_ADMISSION;Afficher les admissions
10;ADD_FINGER;Ajouter une empreinte
11;EDIT_FINGER;Modifier une empreinte
12;IDENTIFIER_FINGER;Identifier une empreinte
13;VIEW_PAYS;Afficher les pays 
14;VIEW_REGION;Afficher les regions 
15;VIEW_PROVINCE;Afficher les provinces 
16;VIEW_COMMUNE;Afficher les communes
17;VIEW_VILLAGE;Afficher les villages 
18;ADD_ENQUETEUR;Ajouter un enqueteur
19;EDIT_ENQUETEUR;Modifier un enqueteur
20;VIEW_ENQUETEUR;Afficher les enqueteurs
21;ADD_TABLETTE;Ajouter une tablette
22;EDIT_TABLETTE;Modifier une tablette
23;VIEW_TABLETTE;Afficher les tablettes
24;ADD_CARTE;Ajouter une carte
25;EDIT_CARTE;Modifier une carte
26;VIEW_CARTE;Afficher les cartes
27;VIEW_DENOMBREMENT;Afficher les dénombrements
28;VIEW_PROFILAGE;Afficher les profilages
29;VIEW_STAT;Afficher les statistiques
30;VIEW_SYNC;Afficher les synchronisations
31;ADD_CODE;Ajouter un code
33;EDIT_CODE;Modifier un code
33;VIEW_CODE;Afficher les enqueteurs
34;ADD_REQUETE;Ajouter une requete
35;EDIT_REQUETE;Modifier une requete
36;VIEW_REQUETE;Afficher les requetes
37;ADD_NIVEAU;Ajouter un niveau
38;EDIT_NIVEAU;Modifier un niveau
39;VIEW_NIVEAU;Afficher les niveaux
40;ADD_CRITERE;Ajouter un critère
41;EDIT_CRITERE;Modifier un critère
42;VIEW_CRITERE;Afficher les critères
43;ADD_ASSISTANCE;Ajouter une assistance
44;EDIT_ASSISTANCE;Modifier une assistance
45;VIEW_ASSISTANCE;Afficher les assistances
46;ADD_PARTENAIRE;Ajouter un partenaire
47;EDIT_PARTENAIRE;Modifier un partenaire
48;VIEW_PARTENAIRE;Afficher les partenaires
49;ADD_SITE;Ajouter un site
50;EDIT_SITE;Modifier un site
51;VIEW_SITE;Afficher les sites
52;ADD_TYPESITE;Ajouter un type de site
53;EDIT_TYPESITE;Modifier un type de site
54;VIEW_TYPESITE;Afficher les types de sites
55;ADD_RESPONSABLE;Ajouter un responsable
56;EDIT_RESPONSABLE;Modifier un responsable
57;VIEW_RESPONSABLE;Afficher les responsables
58;ADD_RETOUR;Ajouter un retour
59;EDIT_RETOUR;Modifier un retour
60;VIEW_RETOUR;Afficher les retours
61;ADD_ESTIMATION;Ajouter une estimation
62;EDIT_ESTIMATION;Modifier une estimation
63;VIEW_ESTIMATION;Afficher les estimations
64;VIEW_TRACES;Afficher les traces des operations
65;VIEW_CLASSEMENT;Afficher les classifications 
66;VIEW_DOUBLONS;Afficher les doublons 
67;EDIT_DOUBLONS;Modifier les doublons 
